年份,CPI(上年=100),累计平减指数(2010=1),名义月薪(元),"实际月薪(2010年不变价,元)"
2010,103.3,1.0,2815.0,2815.0
2011,105.4,1.054,3051.0,2895.0
2012,102.6,1.0814,3366.0,3113.0
2013,102.6,1.1095,3560.0,3209.0
2014,102.0,1.1317,3773.0,3334.0
2015,101.4,1.1476,4042.0,3522.0
2016,102.0,1.1705,4376.0,3739.0
2017,101.6,1.1892,4774.0,4014.0
2018,102.1,1.2142,5135.0,4229.0
2019,102.9,1.2494,5440.0,4354.0
2020,102.5,1.2807,5471.0,4272.0
2021,100.9,1.2922,5833.0,4514.0
2022,102.0,1.318,5990.0,4545.0
2023,100.2,1.3207,6050.0,4581.0
2024,100.2,1.3233,6199.0,4684.0
