年份,PEEHI,S1关联系数,S2关联系数,S3关联系数,S4关联系数
2010,4.3,1.0,0.6046,0.8883,0.3596
2011,13.2,0.7195,0.7001,0.8398,0.4053
2012,20.9,0.6267,0.6186,0.7839,0.8248
2013,22.7,0.6515,0.8117,0.8337,0.9733
2014,10.8,0.8857,0.6567,0.8022,0.6247
2015,0.0,0.8398,0.6177,0.6178,0.6341
2016,5.4,0.8864,0.7155,0.6508,0.8636
2017,23.4,0.7649,0.8001,0.9293,0.6947
2018,25.6,0.737,0.8593,0.7803,0.8602
2019,57.2,0.7252,0.6761,0.6716,0.8114
2020,81.1,0.5229,0.9463,0.9503,0.3341
2021,69.1,0.7559,0.6701,0.6316,0.4158
2022,100.0,0.6799,0.9338,0.8329,0.4155
2023,90.1,0.834,0.7739,0.8062,0.6711
2024,62.6,0.4744,0.6191,0.4744,0.4744
