年份,PEEHI,S1_升学基数,S2_就业市场,S3_政策供给,S4_考公替代,C1%,C2%,C3%,C4%
2010,4.3,18.1,24.9,0.0,51.8,19.1,26.2,0.0,54.6
2011,13.2,14.6,26.0,6.7,50.5,14.9,26.5,6.9,51.7
2012,20.9,15.2,3.0,11.5,24.1,28.2,5.6,21.4,44.8
2013,22.7,18.4,28.3,15.9,19.3,22.5,34.6,19.4,23.5
2014,10.8,19.9,26.6,19.2,26.4,21.6,28.9,20.8,28.7
2015,0.0,20.0,20.3,20.9,17.6,25.4,25.8,26.5,22.3
2016,5.4,22.8,18.6,23.6,2.7,33.7,27.5,34.8,4.0
2017,23.4,25.4,15.3,26.0,9.2,33.5,20.2,34.3,12.1
2018,25.6,46.2,19.6,35.2,18.0,38.8,16.5,29.6,15.1
2019,57.2,51.7,36.9,40.6,52.3,28.5,20.3,22.4,28.8
2020,81.1,56.6,68.5,79.2,13.2,26.0,31.5,36.4,6.1
2021,69.1,81.5,46.4,88.8,19.2,34.6,19.7,37.7,8.1
2022,100.0,84.9,83.7,93.2,42.7,27.9,27.5,30.6,14.0
2023,90.1,95.6,85.8,98.3,58.7,28.3,25.4,29.0,17.3
2024,62.6,98.2,72.0,100.0,78.9,28.1,20.6,28.6,22.6
