年份,硕士总招生(万),学术硕士招生(万),专业硕士招生(万),专硕占比(%),政策哑变量(2020后=1),"推免保研人数(万,估算)"
2010,47.2,36.2,11.0,23.3,0,4.72
2011,47.44,32.31,15.13,31.9,0,4.84
2012,49.46,31.21,18.25,36.9,0,5.19
2013,52.13,30.76,21.37,41.0,0,5.63
2014,54.09,30.24,23.85,44.1,0,5.95
2015,54.87,29.68,25.19,45.9,0,6.15
2016,57.06,29.67,27.39,48.0,0,6.56
2017,58.98,29.49,29.49,50.0,0,7.37
2018,72.22,33.29,38.93,53.9,0,9.24
2019,76.25,31.64,44.61,58.5,0,9.91
2020,81.13,30.5,50.63,62.4,1,10.95
2021,99.05,35.66,63.39,64.0,1,13.67
2022,105.07,35.72,69.35,66.0,1,14.71
2023,114.84,38.24,76.6,66.7,1,16.08
2024,118.57,39.48,79.09,66.7,1,16.84
